Date,AveragePrice,TotalVolume,plu4046,plu4225,plu4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,region
2023-01-15,0.924185306,807455.47,352523.78,27575.65,137.14,85555.04,,,,conventional,Atlanta
2023-01-15,1.261764668,978518.44,154698.02,380908.74,1814.07,364369.38,,,,conventional,BaltimoreWashington
2023-01-15,0.852397157,378705.83,181118.04,5447.22,40.0,80208.99,,,,conventional,BirminghamMontgomery
2023-01-15,1.058398586,107056.37,26573.59,5608.51,162.28,20914.04,,,,conventional,Boise
2023-01-15,1.413767351,585173.85,42374.44,307437.14,61.47,154953.66,,,,conventional,Boston
2023-01-15,1.10776251,192762.9,29713.16,55065.9,1148.55,101016.12,,,,conventional,BuffaloRochester
2023-01-15,1.080781035,388824.48,132018.95,78978.78,1088.83,130412.6,,,,conventional,Charlotte
2023-01-15,1.028269789,994629.57,153205.6,122156.35,61291.68,219297.58,,,,conventional,Chicago
2023-01-15,1.046877371,319738.39,44352.16,64320.9,11864.35,53596.98,,,,conventional,CincinnatiDayton
2023-01-15,0.988861828,272330.56,61537.1,20372.38,10354.7,42402.05,,,,conventional,Columbus
2023-01-15,0.77458181,1559013.04,350104.42,140745.75,8478.11,600536.73,,,,conventional,DallasFtWorth
2023-01-15,1.017178937,835065.29,179858.88,66997.84,2976.87,268384.92,,,,conventional,Denver
2023-01-15,1.026764452,525630.63,94501.04,56676.19,59092.36,114475.02,,,,conventional,Detroit
2023-01-15,1.318455398,207925.43,19863.86,49229.42,65636.97,43403.34,,,,conventional,GrandRapids
2023-01-15,1.062340566,423464.69,148709.23,114731.93,23309.19,125801.04,,,,conventional,HarrisburgScranton
2023-01-15,1.340707523,359613.52,17883.96,257098.92,1074.07,71748.49,,,,conventional,HartfordSpringfield
2023-01-15,0.791852151,1009678.75,257013.59,173507.51,1313.85,306915.12,,,,conventional,Houston
2023-01-15,0.942968291,291727.29,60970.32,33404.11,15025.38,55304.54,,,,conventional,Indianapolis
2023-01-15,0.94261838,267803.8,147622.39,4728.8,31.85,57401.28,,,,conventional,Jacksonville
2023-01-15,0.9659847,429164.39,60915.4,37921.81,2866.43,137071.74,,,,conventional,LasVegas
2023-01-15,1.216196189,2742152.24,532319.59,18030.48,86118.24,680093.77,,,,conventional,LosAngeles
2023-01-15,0.950769532,152831.65,30314.67,7818.64,3386.89,37855.49,,,,conventional,Louisville
2023-01-15,0.923554546,1142190.65,634541.65,14178.55,99.39,299691.87,,,,conventional,MiamiFtLauderdale
2023-01-15,0.894878911,330619.9,111799.53,9818.06,67.67,88827.48,,,,conventional,Nashville
2023-01-15,1.105379299,481809.39,107609.74,232578.64,19.36,86737.26,,,,conventional,NorthernNewEngland
2023-01-15,0.770299607,350743.69,125787.58,2083.02,536.78,148939.54,,,,conventional,NewOrleans
2023-01-15,1.22577091,2111537.24,135165.74,1284921.83,541.41,598604.36,,,,conventional,NewYork
